"序号","文件名","扩展名","大小MB","一级目录","模块","内容类型","建议标签","格式处理建议","相对路径","完整路径"
"153","行政职业能力测验模拟预测试卷（四）.doc",".doc","0.49","西安高层次人才教育类","职测/行测","预测押题","冲刺","暂不批量转换，精选后再处理","西安高层次人才教育类\【重点必过】西安高层次人才教育类招聘职业能力测试讲义题库重点\5. 全真测试-《行政职业能力测试》历年试题模拟预测名师密押试卷\新版《行测》模拟卷1\行政职业能力测验模拟预测试卷（四）.doc","F:\BaiduNetdiskDownload\教学资料\西安高层次人才教育类\【重点必过】西安高层次人才教育类招聘职业能力测试讲义题库重点\5. 全真测试-《行政职业能力测试》历年试题模拟预测名师密押试卷\新版《行测》模拟卷1\行政职业能力测验模拟预测试卷（四）.doc"
"154","行政职业能力测验模拟预测试卷（四十）.doc",".doc","0.76","西安高层次人才教育类","职测/行测","预测押题","冲刺","暂不批量转换，精选后再处理","西安高层次人才教育类\【重点必过】西安高层次人才教育类招聘职业能力测试讲义题库重点\5. 全真测试-《行政职业能力测试》历年试题模拟预测名师密押试卷\新版《行测》模拟卷1\行政职业能力测验模拟预测试卷（四十）.doc","F:\BaiduNetdiskDownload\教学资料\西安高层次人才教育类\【重点必过】西安高层次人才教育类招聘职业能力测试讲义题库重点\5. 全真测试-《行政职业能力测试》历年试题模拟预测名师密押试卷\新版《行测》模拟卷1\行政职业能力测验模拟预测试卷（四十）.doc"
"155","行政职业能力测验模拟预测试卷（五）.doc",".doc","0.07","西安高层次人才教育类","职测/行测","预测押题","冲刺","暂不批量转换，精选后再处理","西安高层次人才教育类\【重点必过】西安高层次人才教育类招聘职业能力测试讲义题库重点\5. 全真测试-《行政职业能力测试》历年试题模拟预测名师密押试卷\新版《行测》模拟卷1\行政职业能力测验模拟预测试卷（五）.doc","F:\BaiduNetdiskDownload\教学资料\西安高层次人才教育类\【重点必过】西安高层次人才教育类招聘职业能力测试讲义题库重点\5. 全真测试-《行政职业能力测试》历年试题模拟预测名师密押试卷\新版《行测》模拟卷1\行政职业能力测验模拟预测试卷（五）.doc"
"156","行政职业能力测验模拟预测试卷（一）.doc",".doc","0.23","西安高层次人才教育类","职测/行测","预测押题","冲刺","暂不批量转换，精选后再处理","西安高层次人才教育类\【重点必过】西安高层次人才教育类招聘职业能力测试讲义题库重点\5. 全真测试-《行政职业能力测试》历年试题模拟预测名师密押试卷\新版《行测》模拟卷1\行政职业能力测验模拟预测试卷（一）.doc","F:\BaiduNetdiskDownload\教学资料\西安高层次人才教育类\【重点必过】西安高层次人才教育类招聘职业能力测试讲义题库重点\5. 全真测试-《行政职业能力测试》历年试题模拟预测名师密押试卷\新版《行测》模拟卷1\行政职业能力测验模拟预测试卷（一）.doc"
"157","6600教育心理学部分  答案.pdf",".pdf","1.09","教基教综","教育心理学","答案解析","答案","保留原格式","教基教综\【02】教综6000题\6600答案\6600教育心理学部分  答案.pdf","F:\BaiduNetdiskDownload\教学资料\教基教综\【02】教综6000题\6600答案\6600教育心理学部分  答案.pdf"
"158","6600教育学部分 答案.pdf",".pdf","1.66","教基教综","教育学","答案解析","答案","保留原格式","教基教综\【02】教综6000题\6600答案\6600教育学部分 答案.pdf","F:\BaiduNetdiskDownload\教学资料\教基教综\【02】教综6000题\6600答案\6600教育学部分 答案.pdf"
"159","6600小四门部分 答案.pdf",".pdf","0.71","教基教综","教育综合","答案解析","答案","保留原格式","教基教综\【02】教综6000题\6600答案\6600小四门部分 答案.pdf","F:\BaiduNetdiskDownload\教学资料\教基教综\【02】教综6000题\6600答案\6600小四门部分 答案.pdf"
"160","6600心理学部分  答案.pdf",".pdf","1.07","教基教综","心理学","答案解析","答案","保留原格式","教基教综\【02】教综6000题\6600答案\6600心理学部分  答案.pdf","F:\BaiduNetdiskDownload\教学资料\教基教综\【02】教综6000题\6600答案\6600心理学部分  答案.pdf"
"161","【11】全新教师招聘考试教育综合知识（教师职业道德）题库及答案_【金榜题名教育培训】.doc",".doc","0.22","西安高层次人才教育类","教师职业道德","答案解析","答案","暂不批量转换，精选后再处理","西安高层次人才教育类\全新西安高层次人才教育类招聘【教基】考试必过复习资料价值980元新版\【11】全新教师招聘考试教育综合知识（教师职业道德）题库及答案_【金榜题名教育培训】.doc","F:\BaiduNetdiskDownload\教学资料\西安高层次人才教育类\全新西安高层次人才教育类招聘【教基】考试必过复习资料价值980元新版\【11】全新教师招聘考试教育综合知识（教师职业道德）题库及答案_【金榜题名教育培训】.doc"
"162","教师职业道德内部资料参考答案.doc",".doc","0.02","西安高层次人才教育类","教师职业道德","答案解析","答案","暂不批量转换，精选后再处理","西安高层次人才教育类\【预测题库】西安高层次人才教育类招聘考试教育综合知识复习资料新版\全新版教师招聘-分模块模拟练习重点一一击破\7、综合演练\教师职业道德内部资料参考答案.doc","F:\BaiduNetdiskDownload\教学资料\西安高层次人才教育类\【预测题库】西安高层次人才教育类招聘考试教育综合知识复习资料新版\全新版教师招聘-分模块模拟练习重点一一击破\7、综合演练\教师职业道德内部资料参考答案.doc"
"163","全新版教师职业道德修养基本要求试题和参考答案.doc",".doc","0.05","西安高层次人才教育类","教师职业道德","答案解析","答案","暂不批量转换，精选后再处理","西安高层次人才教育类\【预测题库】西安高层次人才教育类招聘考试教育综合知识复习资料新版\全新版教师招聘-分模块模拟练习重点一一击破\4、教师职业道德\全新版教师职业道德修养基本要求试题和参考答案.doc","F:\BaiduNetdiskDownload\教学资料\西安高层次人才教育类\【预测题库】西安高层次人才教育类招聘考试教育综合知识复习资料新版\全新版教师招聘-分模块模拟练习重点一一击破\4、教师职业道德\全新版教师职业道德修养基本要求试题和参考答案.doc"
"164","【9】全新教师招聘考试教育综合知识（教育法律法规）题库及答案_【金榜题名教育培训】.doc",".doc","0.33","西安高层次人才教育类","教育法律法规","答案解析","答案","暂不批量转换，精选后再处理","西安高层次人才教育类\全新西安高层次人才教育类招聘【教基】考试必过复习资料价值980元新版\【9】全新教师招聘考试教育综合知识（教育法律法规）题库及答案_【金榜题名教育培训】.doc","F:\BaiduNetdiskDownload\教学资料\西安高层次人才教育类\全新西安高层次人才教育类招聘【教基】考试必过复习资料价值980元新版\【9】全新教师招聘考试教育综合知识（教育法律法规）题库及答案_【金榜题名教育培训】.doc"
"165","教育法律法规答案.doc",".doc","0.05","西安高层次人才教育类","教育法律法规","答案解析","答案","暂不批量转换，精选后再处理","西安高层次人才教育类\【预测题库】西安高层次人才教育类招聘考试教育综合知识复习资料新版\全新版教师招聘-分模块模拟练习重点一一击破\7、综合演练\教育法律法规答案.doc","F:\BaiduNetdiskDownload\教学资料\西安高层次人才教育类\【预测题库】西安高层次人才教育类招聘考试教育综合知识复习资料新版\全新版教师招聘-分模块模拟练习重点一一击破\7、综合演练\教育法律法规答案.doc"
"166","全新版教育法律法规案例分析试题及答案.doc",".doc","0.2","西安高层次人才教育类","教育法律法规","答案解析","答案","暂不批量转换，精选后再处理","西安高层次人才教育类\【预测题库】西安高层次人才教育类招聘考试教育综合知识复习资料新版\全新版教师招聘-分模块模拟练习重点一一击破\5、教育法律与法规\全新版教育法律法规案例分析试题及答案.doc","F:\BaiduNetdiskDownload\教学资料\西安高层次人才教育类\【预测题库】西安高层次人才教育类招聘考试教育综合知识复习资料新版\全新版教师招聘-分模块模拟练习重点一一击破\5、教育法律与法规\全新版教育法律法规案例分析试题及答案.doc"
"167","全新版教育法律法规模拟试题及答案（1）.doc",".doc","0.07","西安高层次人才教育类","教育法律法规","答案解析","答案","暂不批量转换，精选后再处理","西安高层次人才教育类\【预测题库】西安高层次人才教育类招聘考试教育综合知识复习资料新版\全新版教师招聘-分模块模拟练习重点一一击破\5、教育法律与法规\全新版教育法律法规模拟试题及答案（1）.doc","F:\BaiduNetdiskDownload\教学资料\西安高层次人才教育类\【预测题库】西安高层次人才教育类招聘考试教育综合知识复习资料新版\全新版教师招聘-分模块模拟练习重点一一击破\5、教育法律与法规\全新版教育法律法规模拟试题及答案（1）.doc"
"168","全新版教育法律法规模拟试题及答案（2）.doc",".doc","0.04","西安高层次人才教育类","教育法律法规","答案解析","答案","暂不批量转换，精选后再处理","西安高层次人才教育类\【预测题库】西安高层次人才教育类招聘考试教育综合知识复习资料新版\全新版教师招聘-分模块模拟练习重点一一击破\5、教育法律与法规\全新版教育法律法规模拟试题及答案（2）.doc","F:\BaiduNetdiskDownload\教学资料\西安高层次人才教育类\【预测题库】西安高层次人才教育类招聘考试教育综合知识复习资料新版\全新版教师招聘-分模块模拟练习重点一一击破\5、教育法律与法规\全新版教育法律法规模拟试题及答案（2）.doc"
"169","【7】全新教师招聘考试教育综合知识（教育心理学）题库及答案_【金榜题名教育培训】.doc",".doc","0.28","西安高层次人才教育类","教育心理学","答案解析","答案","暂不批量转换，精选后再处理","西安高层次人才教育类\全新西安高层次人才教育类招聘【教基】考试必过复习资料价值980元新版\【7】全新教师招聘考试教育综合知识（教育心理学）题库及答案_【金榜题名教育培训】.doc","F:\BaiduNetdiskDownload\教学资料\西安高层次人才教育类\全新西安高层次人才教育类招聘【教基】考试必过复习资料价值980元新版\【7】全新教师招聘考试教育综合知识（教育心理学）题库及答案_【金榜题名教育培训】.doc"
"170","教育心理学答案.doc",".doc","0.36","西安高层次人才教育类","教育心理学","答案解析","答案","暂不批量转换，精选后再处理","西安高层次人才教育类\【预测题库】西安高层次人才教育类招聘考试教育综合知识复习资料新版\全新版教师招聘-分模块模拟练习重点一一击破\7、综合演练\教育心理学答案.doc","F:\BaiduNetdiskDownload\教学资料\西安高层次人才教育类\【预测题库】西安高层次人才教育类招聘考试教育综合知识复习资料新版\全新版教师招聘-分模块模拟练习重点一一击破\7、综合演练\教育心理学答案.doc"
"171","【3】全新教师招聘考试教育综合知识（教育学）题库及答案_【金榜题名教育培训】.doc",".doc","0.23","西安高层次人才教育类","教育学","答案解析","答案","暂不批量转换，精选后再处理","西安高层次人才教育类\全新西安高层次人才教育类招聘【教基】考试必过复习资料价值980元新版\【3】全新教师招聘考试教育综合知识（教育学）题库及答案_【金榜题名教育培训】.doc","F:\BaiduNetdiskDownload\教学资料\西安高层次人才教育类\全新西安高层次人才教育类招聘【教基】考试必过复习资料价值980元新版\【3】全新教师招聘考试教育综合知识（教育学）题库及答案_【金榜题名教育培训】.doc"
"172","教育学答案.doc",".doc","0.07","西安高层次人才教育类","教育学","答案解析","答案","暂不批量转换，精选后再处理","西安高层次人才教育类\【预测题库】西安高层次人才教育类招聘考试教育综合知识复习资料新版\全新版教师招聘-分模块模拟练习重点一一击破\7、综合演练\教育学答案.doc","F:\BaiduNetdiskDownload\教学资料\西安高层次人才教育类\【预测题库】西安高层次人才教育类招聘考试教育综合知识复习资料新版\全新版教师招聘-分模块模拟练习重点一一击破\7、综合演练\教育学答案.doc"
"173","全新版教育学模拟试题及答案(1).doc",".doc","0.03","西安高层次人才教育类","教育学","答案解析","答案","暂不批量转换，精选后再处理","西安高层次人才教育类\【预测题库】西安高层次人才教育类招聘考试教育综合知识复习资料新版\全新版教师招聘-分模块模拟练习重点一一击破\1、教育学\全新版教育学模拟试题及答案(1).doc","F:\BaiduNetdiskDownload\教学资料\西安高层次人才教育类\【预测题库】西安高层次人才教育类招聘考试教育综合知识复习资料新版\全新版教师招聘-分模块模拟练习重点一一击破\1、教育学\全新版教育学模拟试题及答案(1).doc"
"174","全新版教育学模拟试题及答案(2).doc",".doc","0.03","西安高层次人才教育类","教育学","答案解析","答案","暂不批量转换，精选后再处理","西安高层次人才教育类\【预测题库】西安高层次人才教育类招聘考试教育综合知识复习资料新版\全新版教师招聘-分模块模拟练习重点一一击破\1、教育学\全新版教育学模拟试题及答案(2).doc","F:\BaiduNetdiskDownload\教学资料\西安高层次人才教育类\【预测题库】西安高层次人才教育类招聘考试教育综合知识复习资料新版\全新版教师招聘-分模块模拟练习重点一一击破\1、教育学\全新版教育学模拟试题及答案(2).doc"
"175","全新版教育学模拟试题及答案(3).doc",".doc","0.03","西安高层次人才教育类","教育学","答案解析","答案","暂不批量转换，精选后再处理","西安高层次人才教育类\【预测题库】西安高层次人才教育类招聘考试教育综合知识复习资料新版\全新版教师招聘-分模块模拟练习重点一一击破\1、教育学\全新版教育学模拟试题及答案(3).doc","F:\BaiduNetdiskDownload\教学资料\西安高层次人才教育类\【预测题库】西安高层次人才教育类招聘考试教育综合知识复习资料新版\全新版教师招聘-分模块模拟练习重点一一击破\1、教育学\全新版教育学模拟试题及答案(3).doc"
"176","全新版教育学模拟试题及答案(4).doc",".doc","0.03","西安高层次人才教育类","教育学","答案解析","答案","暂不批量转换，精选后再处理","西安高层次人才教育类\【预测题库】西安高层次人才教育类招聘考试教育综合知识复习资料新版\全新版教师招聘-分模块模拟练习重点一一击破\1、教育学\全新版教育学模拟试题及答案(4).doc","F:\BaiduNetdiskDownload\教学资料\西安高层次人才教育类\【预测题库】西安高层次人才教育类招聘考试教育综合知识复习资料新版\全新版教师招聘-分模块模拟练习重点一一击破\1、教育学\全新版教育学模拟试题及答案(4).doc"
"177","全新版教育学模拟试题及答案(5).doc",".doc","0.03","西安高层次人才教育类","教育学","答案解析","答案","暂不批量转换，精选后再处理","西安高层次人才教育类\【预测题库】西安高层次人才教育类招聘考试教育综合知识复习资料新版\全新版教师招聘-分模块模拟练习重点一一击破\1、教育学\全新版教育学模拟试题及答案(5).doc","F:\BaiduNetdiskDownload\教学资料\西安高层次人才教育类\【预测题库】西安高层次人才教育类招聘考试教育综合知识复习资料新版\全新版教师招聘-分模块模拟练习重点一一击破\1、教育学\全新版教育学模拟试题及答案(5).doc"
"178","《国家中长期教育改革和发展规划纲要》测试题(试卷、答案).doc",".doc","0.05","西安高层次人才教育类","教育综合","答案解析","答案","暂不批量转换，精选后再处理","西安高层次人才教育类\【预测题库】西安高层次人才教育类招聘考试教育综合知识复习资料新版\全新版教师招聘-分模块模拟练习重点一一击破\7、综合演练\《国家中长期教育改革和发展规划纲要》测试题(试卷、答案).doc","F:\BaiduNetdiskDownload\教学资料\西安高层次人才教育类\【预测题库】西安高层次人才教育类招聘考试教育综合知识复习资料新版\全新版教师招聘-分模块模拟练习重点一一击破\7、综合演练\《国家中长期教育改革和发展规划纲要》测试题(试卷、答案).doc"
"179","【16】全新教师招聘考试《教育综合知识》已考真题汇编及答案解析3套_【金榜题名教育培训】.doc",".doc","0.21","西安高层次人才教育类","教育综合","答案解析","答案","暂不批量转换，精选后再处理","西安高层次人才教育类\全新西安高层次人才教育类招聘【教基】考试必过复习资料价值980元新版\【16】全新教师招聘考试《教育综合知识》已考真题汇编及答案解析3套_【金榜题名教育培训】.doc","F:\BaiduNetdiskDownload\教学资料\西安高层次人才教育类\全新西安高层次人才教育类招聘【教基】考试必过复习资料价值980元新版\【16】全新教师招聘考试《教育综合知识》已考真题汇编及答案解析3套_【金榜题名教育培训】.doc"
"180","教师招聘考试教育综合知识1000题1.0版本答案.pdf",".pdf","1.85","西安高层次人才教育类","教育综合","答案解析","答案","保留原格式","西安高层次人才教育类\【预测题库】西安高层次人才教育类招聘考试教育综合知识复习资料新版\考前必刷教综精选1000题、300题\教师招聘考试教育综合知识1000题1.0版本答案.pdf","F:\BaiduNetdiskDownload\教学资料\西安高层次人才教育类\【预测题库】西安高层次人才教育类招聘考试教育综合知识复习资料新版\考前必刷教综精选1000题、300题\教师招聘考试教育综合知识1000题1.0版本答案.pdf"
"181","教师招聘考试教育综合知识1000题2.0版本答案.pdf",".pdf","1.31","西安高层次人才教育类","教育综合","答案解析","答案","保留原格式","西安高层次人才教育类\【预测题库】西安高层次人才教育类招聘考试教育综合知识复习资料新版\考前必刷教综精选1000题、300题\教师招聘考试教育综合知识1000题2.0版本答案.pdf","F:\BaiduNetdiskDownload\教学资料\西安高层次人才教育类\【预测题库】西安高层次人才教育类招聘考试教育综合知识复习资料新版\考前必刷教综精选1000题、300题\教师招聘考试教育综合知识1000题2.0版本答案.pdf"
"182","教师招聘考试易错题1.pdf",".pdf","0.32","西安高层次人才教育类","教育综合","答案解析","答案","保留原格式","西安高层次人才教育类\【预测题库】西安高层次人才教育类招聘考试教育综合知识复习资料新版\教综易错题集6套含答案\教师招聘考试易错题1.pdf","F:\BaiduNetdiskDownload\教学资料\西安高层次人才教育类\【预测题库】西安高层次人才教育类招聘考试教育综合知识复习资料新版\教综易错题集6套含答案\教师招聘考试易错题1.pdf"
"183","教师招聘考试易错题2.pdf",".pdf","0.29","西安高层次人才教育类","教育综合","答案解析","答案","保留原格式","西安高层次人才教育类\【预测题库】西安高层次人才教育类招聘考试教育综合知识复习资料新版\教综易错题集6套含答案\教师招聘考试易错题2.pdf","F:\BaiduNetdiskDownload\教学资料\西安高层次人才教育类\【预测题库】西安高层次人才教育类招聘考试教育综合知识复习资料新版\教综易错题集6套含答案\教师招聘考试易错题2.pdf"
"184","教师招聘考试易错题3.pdf",".pdf","0.31","西安高层次人才教育类","教育综合","答案解析","答案","保留原格式","西安高层次人才教育类\【预测题库】西安高层次人才教育类招聘考试教育综合知识复习资料新版\教综易错题集6套含答案\教师招聘考试易错题3.pdf","F:\BaiduNetdiskDownload\教学资料\西安高层次人才教育类\【预测题库】西安高层次人才教育类招聘考试教育综合知识复习资料新版\教综易错题集6套含答案\教师招聘考试易错题3.pdf"
"185","教师招聘考试易错题4.pdf",".pdf","0.32","西安高层次人才教育类","教育综合","答案解析","答案","保留原格式","西安高层次人才教育类\【预测题库】西安高层次人才教育类招聘考试教育综合知识复习资料新版\教综易错题集6套含答案\教师招聘考试易错题4.pdf","F:\BaiduNetdiskDownload\教学资料\西安高层次人才教育类\【预测题库】西安高层次人才教育类招聘考试教育综合知识复习资料新版\教综易错题集6套含答案\教师招聘考试易错题4.pdf"
"186","教师招聘考试易错题5.pdf",".pdf","0.29","西安高层次人才教育类","教育综合","答案解析","答案","保留原格式","西安高层次人才教育类\【预测题库】西安高层次人才教育类招聘考试教育综合知识复习资料新版\教综易错题集6套含答案\教师招聘考试易错题5.pdf","F:\BaiduNetdiskDownload\教学资料\西安高层次人才教育类\【预测题库】西安高层次人才教育类招聘考试教育综合知识复习资料新版\教综易错题集6套含答案\教师招聘考试易错题5.pdf"
"187","教师招聘考试易错题6.pdf",".pdf","0.33","西安高层次人才教育类","教育综合","答案解析","答案","保留原格式","西安高层次人才教育类\【预测题库】西安高层次人才教育类招聘考试教育综合知识复习资料新版\教综易错题集6套含答案\教师招聘考试易错题6.pdf","F:\BaiduNetdiskDownload\教学资料\西安高层次人才教育类\【预测题库】西安高层次人才教育类招聘考试教育综合知识复习资料新版\教综易错题集6套含答案\教师招聘考试易错题6.pdf"
"188","教学技能参考答案.doc",".doc","0.02","西安高层次人才教育类","教育综合","答案解析","答案","暂不批量转换，精选后再处理","西安高层次人才教育类\【预测题库】西安高层次人才教育类招聘考试教育综合知识复习资料新版\全新版教师招聘-分模块模拟练习重点一一击破\7、综合演练\教学技能参考答案.doc","F:\BaiduNetdiskDownload\教学资料\西安高层次人才教育类\【预测题库】西安高层次人才教育类招聘考试教育综合知识复习资料新版\全新版教师招聘-分模块模拟练习重点一一击破\7、综合演练\教学技能参考答案.doc"
"189","教育综合知识1400题-单选题-800题-答案.docx",".docx","0.36","西安高层次人才教育类","教育综合","答案解析","答案","保留原格式","西安高层次人才教育类\【预测题库】西安高层次人才教育类招聘考试教育综合知识复习资料新版\（单多判）教育综合知识1400题\教育综合知识1400题-单选题-800题-答案.docx","F:\BaiduNetdiskDownload\教学资料\西安高层次人才教育类\【预测题库】西安高层次人才教育类招聘考试教育综合知识复习资料新版\（单多判）教育综合知识1400题\教育综合知识1400题-单选题-800题-答案.docx"
"190","教育综合知识1400题-多选题-300题-答案.docx",".docx","0.16","西安高层次人才教育类","教育综合","答案解析","答案","保留原格式","西安高层次人才教育类\【预测题库】西安高层次人才教育类招聘考试教育综合知识复习资料新版\（单多判）教育综合知识1400题\教育综合知识1400题-多选题-300题-答案.docx","F:\BaiduNetdiskDownload\教学资料\西安高层次人才教育类\【预测题库】西安高层次人才教育类招聘考试教育综合知识复习资料新版\（单多判）教育综合知识1400题\教育综合知识1400题-多选题-300题-答案.docx"
"191","教育综合知识1400题-判断题-300题-答案.docx",".docx","0.09","西安高层次人才教育类","教育综合","答案解析","答案","保留原格式","西安高层次人才教育类\【预测题库】西安高层次人才教育类招聘考试教育综合知识复习资料新版\（单多判）教育综合知识1400题\教育综合知识1400题-判断题-300题-答案.docx","F:\BaiduNetdiskDownload\教学资料\西安高层次人才教育类\【预测题库】西安高层次人才教育类招聘考试教育综合知识复习资料新版\（单多判）教育综合知识1400题\教育综合知识1400题-判断题-300题-答案.docx"
"192","教综上岸必刷300题答案及解析.pdf",".pdf","0.77","西安高层次人才教育类","教育综合","答案解析","答案","保留原格式","西安高层次人才教育类\【预测题库】西安高层次人才教育类招聘考试教育综合知识复习资料新版\考前必刷教综精选1000题、300题\教综上岸必刷300题答案及解析.pdf","F:\BaiduNetdiskDownload\教学资料\西安高层次人才教育类\【预测题库】西安高层次人才教育类招聘考试教育综合知识复习资料新版\考前必刷教综精选1000题、300题\教综上岸必刷300题答案及解析.pdf"
"193","全新版教师招聘《教育理论综合》模拟试题与答案（1）.doc",".doc","0.07","西安高层次人才教育类","教育综合","答案解析","答案","暂不批量转换，精选后再处理","西安高层次人才教育类\【预测题库】西安高层次人才教育类招聘考试教育综合知识复习资料新版\全新版教师招聘《教育理论》试题与答案10套试卷\全新版教师招聘《教育理论综合》模拟试题与答案（1）.doc","F:\BaiduNetdiskDownload\教学资料\西安高层次人才教育类\【预测题库】西安高层次人才教育类招聘考试教育综合知识复习资料新版\全新版教师招聘《教育理论》试题与答案10套试卷\全新版教师招聘《教育理论综合》模拟试题与答案（1）.doc"
"194","全新版教师招聘《教育理论综合》模拟试题与答案（10）.doc",".doc","0.07","西安高层次人才教育类","教育综合","答案解析","答案","暂不批量转换，精选后再处理","西安高层次人才教育类\【预测题库】西安高层次人才教育类招聘考试教育综合知识复习资料新版\全新版教师招聘《教育理论》试题与答案10套试卷\全新版教师招聘《教育理论综合》模拟试题与答案（10）.doc","F:\BaiduNetdiskDownload\教学资料\西安高层次人才教育类\【预测题库】西安高层次人才教育类招聘考试教育综合知识复习资料新版\全新版教师招聘《教育理论》试题与答案10套试卷\全新版教师招聘《教育理论综合》模拟试题与答案（10）.doc"
"195","全新版教师招聘《教育理论综合》模拟试题与答案（2）.doc",".doc","0.06","西安高层次人才教育类","教育综合","答案解析","答案","暂不批量转换，精选后再处理","西安高层次人才教育类\【预测题库】西安高层次人才教育类招聘考试教育综合知识复习资料新版\全新版教师招聘《教育理论》试题与答案10套试卷\全新版教师招聘《教育理论综合》模拟试题与答案（2）.doc","F:\BaiduNetdiskDownload\教学资料\西安高层次人才教育类\【预测题库】西安高层次人才教育类招聘考试教育综合知识复习资料新版\全新版教师招聘《教育理论》试题与答案10套试卷\全新版教师招聘《教育理论综合》模拟试题与答案（2）.doc"
"196","全新版教师招聘《教育理论综合》模拟试题与答案（3）.doc",".doc","0.07","西安高层次人才教育类","教育综合","答案解析","答案","暂不批量转换，精选后再处理","西安高层次人才教育类\【预测题库】西安高层次人才教育类招聘考试教育综合知识复习资料新版\全新版教师招聘《教育理论》试题与答案10套试卷\全新版教师招聘《教育理论综合》模拟试题与答案（3）.doc","F:\BaiduNetdiskDownload\教学资料\西安高层次人才教育类\【预测题库】西安高层次人才教育类招聘考试教育综合知识复习资料新版\全新版教师招聘《教育理论》试题与答案10套试卷\全新版教师招聘《教育理论综合》模拟试题与答案（3）.doc"
"197","全新版教师招聘《教育理论综合》模拟试题与答案（4）.doc",".doc","0.07","西安高层次人才教育类","教育综合","答案解析","答案","暂不批量转换，精选后再处理","西安高层次人才教育类\【预测题库】西安高层次人才教育类招聘考试教育综合知识复习资料新版\全新版教师招聘《教育理论》试题与答案10套试卷\全新版教师招聘《教育理论综合》模拟试题与答案（4）.doc","F:\BaiduNetdiskDownload\教学资料\西安高层次人才教育类\【预测题库】西安高层次人才教育类招聘考试教育综合知识复习资料新版\全新版教师招聘《教育理论》试题与答案10套试卷\全新版教师招聘《教育理论综合》模拟试题与答案（4）.doc"
"198","全新版教师招聘《教育理论综合》模拟试题与答案（5）.doc",".doc","0.07","西安高层次人才教育类","教育综合","答案解析","答案","暂不批量转换，精选后再处理","西安高层次人才教育类\【预测题库】西安高层次人才教育类招聘考试教育综合知识复习资料新版\全新版教师招聘《教育理论》试题与答案10套试卷\全新版教师招聘《教育理论综合》模拟试题与答案（5）.doc","F:\BaiduNetdiskDownload\教学资料\西安高层次人才教育类\【预测题库】西安高层次人才教育类招聘考试教育综合知识复习资料新版\全新版教师招聘《教育理论》试题与答案10套试卷\全新版教师招聘《教育理论综合》模拟试题与答案（5）.doc"
"199","全新版教师招聘《教育理论综合》模拟试题与答案（6）.doc",".doc","0.07","西安高层次人才教育类","教育综合","答案解析","答案","暂不批量转换，精选后再处理","西安高层次人才教育类\【预测题库】西安高层次人才教育类招聘考试教育综合知识复习资料新版\全新版教师招聘《教育理论》试题与答案10套试卷\全新版教师招聘《教育理论综合》模拟试题与答案（6）.doc","F:\BaiduNetdiskDownload\教学资料\西安高层次人才教育类\【预测题库】西安高层次人才教育类招聘考试教育综合知识复习资料新版\全新版教师招聘《教育理论》试题与答案10套试卷\全新版教师招聘《教育理论综合》模拟试题与答案（6）.doc"
"200","全新版教师招聘《教育理论综合》模拟试题与答案（7）.doc",".doc","0.06","西安高层次人才教育类","教育综合","答案解析","答案","暂不批量转换，精选后再处理","西安高层次人才教育类\【预测题库】西安高层次人才教育类招聘考试教育综合知识复习资料新版\全新版教师招聘《教育理论》试题与答案10套试卷\全新版教师招聘《教育理论综合》模拟试题与答案（7）.doc","F:\BaiduNetdiskDownload\教学资料\西安高层次人才教育类\【预测题库】西安高层次人才教育类招聘考试教育综合知识复习资料新版\全新版教师招聘《教育理论》试题与答案10套试卷\全新版教师招聘《教育理论综合》模拟试题与答案（7）.doc"
"201","全新版教师招聘《教育理论综合》模拟试题与答案（8）.doc",".doc","0.07","西安高层次人才教育类","教育综合","答案解析","答案","暂不批量转换，精选后再处理","西安高层次人才教育类\【预测题库】西安高层次人才教育类招聘考试教育综合知识复习资料新版\全新版教师招聘《教育理论》试题与答案10套试卷\全新版教师招聘《教育理论综合》模拟试题与答案（8）.doc","F:\BaiduNetdiskDownload\教学资料\西安高层次人才教育类\【预测题库】西安高层次人才教育类招聘考试教育综合知识复习资料新版\全新版教师招聘《教育理论》试题与答案10套试卷\全新版教师招聘《教育理论综合》模拟试题与答案（8）.doc"
"202","全新版教师招聘《教育理论综合》模拟试题与答案（9）.doc",".doc","0.07","西安高层次人才教育类","教育综合","答案解析","答案","暂不批量转换，精选后再处理","西安高层次人才教育类\【预测题库】西安高层次人才教育类招聘考试教育综合知识复习资料新版\全新版教师招聘《教育理论》试题与答案10套试卷\全新版教师招聘《教育理论综合》模拟试题与答案（9）.doc","F:\BaiduNetdiskDownload\教学资料\西安高层次人才教育类\【预测题库】西安高层次人才教育类招聘考试教育综合知识复习资料新版\全新版教师招聘《教育理论》试题与答案10套试卷\全新版教师招聘《教育理论综合》模拟试题与答案（9）.doc"
"203","全新版教师招聘模拟卷（八）答案.pdf",".pdf","0.31","西安高层次人才教育类","教育综合","答案解析","答案","保留原格式","西安高层次人才教育类\【预测题库】西安高层次人才教育类招聘考试教育综合知识复习资料新版\全新版教师招聘【教育综合知识】-预测模拟试卷十套\全新版教师招聘模拟卷（八）答案.pdf","F:\BaiduNetdiskDownload\教学资料\西安高层次人才教育类\【预测题库】西安高层次人才教育类招聘考试教育综合知识复习资料新版\全新版教师招聘【教育综合知识】-预测模拟试卷十套\全新版教师招聘模拟卷（八）答案.pdf"
